customer_id,first_name,last_name,DOB,job_title,deceased_indicator,owns_car,address,postcode,property_valuation,state_id,country_id,gender_id,job_industry_id,wealth_segment_id
1,Laraine,Medendorp,12/10/1953,Executive Secretary,N,Yes,060 Morning Avenue,2016,10,0,0,0,3,3
2,Eli,Bockman,16/12/1980,Administrative Officer,N,Yes,6 Meadow Vale Court,2153,10,0,0,1,2,3
3,Arlin,Dearle,20/01/1954,Recruiting Manager,N,Yes,0 Holy Cross Court,4211,9,2,0,1,7,3
5,Sheila-kathryn,Calton,13/05/1977,Senior Editor,N,Yes,9 Oakridge Court,3216,9,3,0,0,6,1
8,Rod,Inder,30/03/1962,Media Manager I,N,No,97736 7th Trail,2023,12,0,0,1,6,3
9,Mala,Lind,10/03/1973,Business Systems Development Analyst,N,Yes,93405 Ludington Park,3044,8,3,0,0,0,1
10,Fiorenze,Birdall,11/10/1988,Senior Quality Engineer,N,Yes,44339 Golden Leaf Alley,4557,4,2,0,0,2,3
12,Sawyere,Flattman,21/07/1994,Nuclear Power Engineer,N,No,9 Mcbride Trail,2760,8,0,0,1,5,3
13,Gabriele,Norcross,15/02/1955,Developer I,N,Yes,9861 New Castle Avenue,2428,9,0,0,1,2,2
14,Rayshell,Kitteman,25/03/1983,Account Executive,N,No,52 Moland Street,3331,4,3,0,0,2,1
15,Erroll,Radage,13/07/2000,Junior Executive,N,No,82391 Kensington Lane,3058,9,3,0,1,5,3
16,Harlin,Parr,27/02/1977,Media Manager IV,N,Yes,092 2nd Alley,2135,12,0,0,1,6,3
17,Heath,Faraday,19/03/1962,Sales Associate,N,Yes,59 Spaight Circle,2233,9,0,0,1,6,1
18,Marjie,Neasham,06/07/1967,Professor,N,No,032 Bartelt Crossing,2444,8,0,0,0,6,1
19,Sorcha,Keyson,15/04/2001,Geological Engineer,N,No,18 Jenna Center,2650,7,0,0,0,5,2
20,Basile,Firth,13/08/1980,Project Manager,N,No,3 Cordelia Plaza,2153,10,0,0,1,5,3
